ID,Type of Defect,Date Recorded,Stage Detected,Description,Risk,Part Involved,Car Model
17368,Software,7/17/2023,Customer Delivery,These however why book stock.,Medium,System,Hatchback
17369,Electrical,2/2/2017,Testing,Project well ground want thousand.,High,Interior,Sedan
17370,Software,3/13/2023,Testing,Direction article never approach.,High,System,Sedan
17371,Electrical,1/15/2023,Production,Should remember church billion building.,High,Suspension,SUV
17372,Software,10/10/2015,Testing,Size significant local summer something choice lot.,High,System,Sedan
17373,Other,11/25/2017,Testing,Interest movement issue.,Low,Electrical System,Sedan
17374,Other,10/10/2022,Testing,Machine herself skill stage safe finish poor.,Low,Suspension,Hatchback
17375,Mechanical,3/22/2022,Testing,Boy risk none hold something worker worker hair.,Medium,Suspension,Sedan
17376,Other,9/15/2021,After Sales,Behind individual box any draw camera recent east.,High,Electrical System,Hatchback
17377,Software,6/16/2021,Customer Delivery,These word condition measure.,High,Other,SUV
17378,Other,7/24/2020,Production,Wall education system gun.,Medium,Suspension,SUV
17379,Mechanical,2/12/2023,Testing,Only church high reveal central number degree scene.,High,Transmission,Hatchback
17380,Software,9/28/2023,After Sales,Pressure goal thus nearly position look page.,Medium,Other,SUV
17381,Other,8/18/2023,After Sales,Prove particular professor at check visit a themselves.,High,Suspension,Sedan
17382,Other,10/30/2023,Production,Near study keep issue character political.,High,Brakes,Truck
17383,,10/25/2019,,,,,
17384,Electrical,6/2/2016,After Sales,Ground anything defense certain before affect clear east.,High,Transmission,Hatchback
17385,Electrical,8/21/2015,Customer Delivery,Relationship lay miss environment spring player number.,High,Transmission,Truck
17386,Software,3/23/2021,Production,Soon ready art little.,Low,Other,Truck
17387,Mechanical,12/2/2016,Production,Once food manager cell information.,Low,Other,Truck
17388,Body,1/29/2022,Testing,Thank thank building next everything tend set.,Low,Body Panels,Truck
17389,Other,10/10/2022,Testing,Child when their threat general.,Low,Brakes,Hatchback
17390,Electrical,10/26/2011,Testing,Society anyone paper best strategy past.,Medium,Other,Sedan
17391,Electrical,7/9/2013,After Sales,Admit station crime what tax news.,Medium,Interior,SUV
17392,Software,7/22/2023,Production,Your maybe serious good method.,Low,Other,Hatchback
17393,,9/19/2019,,,,,
17394,Software,12/5/2020,After Sales,Mother visit record.,High,System,Hatchback
17395,Other,5/13/2016,Production,Model with experience information teach soon gun.,High,Other,Sedan
17396,Software,1/8/2023,Testing,Hit same organization work keep.,Medium,Other,Sedan
17397,,10/17/2019,,,,,
17398,Other,12/19/2023,Production,Before there year try stop decade.,High,Transmission,Hatchback
17399,Electrical,9/25/2015,Testing,Series even onto early.,High,Other,SUV
17400,Other,4/9/2022,Production,Leg if card.,Low,Body Panels,Sedan
17401,,10/24/2021,,,,,
17402,Software,5/3/2023,Testing,Several really open available memory off.,Low,Other,Sedan
17403,Body,3/14/2017,Testing,Cup may over security stop contain.,Medium,Suspension,Truck
17404,Mechanical,8/29/2021,Customer Delivery,World somebody chair.,Medium,Brakes,Hatchback
17405,Software,9/29/2023,Testing,Treat low role spend.,Medium,Other,SUV
17406,Software,11/30/2018,Customer Delivery,Fear position human mind live provide.,Medium,Other,Sedan
17407,Electrical,2/10/2015,Testing,View know education seat court as wear.,Medium,Electrical System,Truck
17408,Mechanical,1/24/2023,After Sales,Each rest six.,Low,Interior,SUV
17409,Electrical,3/8/2018,After Sales,Protect gas themselves me whole stop.,High,Electrical System,SUV
17410,Mechanical,3/18/2021,Customer Delivery,Foreign successful receive clear form you event.,High,Electrical System,Sedan
17411,Electrical,6/4/2022,After Sales,Always responsibility Republican his talk PM ground even.,Low,Other,Hatchback
17412,Body,8/1/2014,After Sales,Commercial deep yet enough form.,Low,Engine,Hatchback
17413,Mechanical,6/6/2023,After Sales,Address note network along.,Medium,Body Panels,Sedan
17414,Mechanical,6/12/2012,Testing,Himself admit democratic some.,Medium,Electrical System,Truck
17415,Mechanical,6/8/2018,Testing,Pretty front born energy never fire weight.,Low,Engine,Truck
17416,,4/26/2021,,,,,
17417,Other,10/24/2014,Customer Delivery,Realize early impact seven director.,High,Electrical System,Hatchback
17418,Body,11/13/2022,Customer Delivery,Image me happy partner.,Low,Suspension,Hatchback
17419,Mechanical,12/19/2023,Customer Delivery,Sound military participant each happy.,High,Brakes,Sedan
17420,Software,10/3/2023,Production,Keep choose collection of attention film enter.,Medium,System,Truck
17421,Other,9/14/2022,Testing,Skin available ground return health control.,Low,Body Panels,Sedan
17422,Software,8/29/2018,Testing,Argue study leader since also wonder site.,Medium,Other,Sedan
17423,Body,12/6/2023,After Sales,Scene plant professional.,High,Body Panels,SUV
17424,Software,12/5/2019,After Sales,Peace walk management interest agree run.,Medium,System,SUV
17425,Mechanical,12/24/2023,Customer Delivery,Care few consider anything study.,Low,Interior,Hatchback
17426,Body,7/21/2022,After Sales,Bag home their enter.,Medium,Body Panels,Truck
17427,Electrical,6/28/2023,After Sales,Control himself writer old scene approach book.,High,Other,Hatchback
17428,Mechanical,10/8/2023,Customer Delivery,Indicate name eye garden art although.,Low,Transmission,Truck
17429,Software,7/31/2022,Customer Delivery,Those hear but.,High,Other,Truck
17430,Software,6/12/2021,Testing,Product million season try.,Low,System,SUV
17431,Electrical,9/15/2021,Testing,Benefit clear face democratic environmental beyond.,Medium,Interior,Sedan
17432,Software,11/15/2022,After Sales,Nearly defense trip parent.,Medium,System,Hatchback
17433,Mechanical,12/11/2019,Customer Delivery,Talk three talk continue carry.,Low,Suspension,Sedan
17434,Other,2/25/2023,After Sales,Step offer prepare fall two population.,Low,Brakes,Hatchback
17435,Electrical,5/12/2020,After Sales,Six at prove.,Medium,Body Panels,Truck
17436,Other,7/31/2021,Customer Delivery,So laugh protect a ten event.,Low,Body Panels,Hatchback
17437,Other,5/5/2022,Customer Delivery,Improve situation west.,High,Brakes,Hatchback
17438,Body,6/19/2023,Production,Maintain crime yeah section forward.,Medium,Interior,SUV
17439,Electrical,12/25/2021,After Sales,Ok begin quite air show the cut.,Medium,Suspension,SUV
17440,Software,5/12/2013,Testing,Wonder here surface somebody with under management.,High,Other,Truck
17441,Software,5/30/2023,Customer Delivery,Much me although high difficult political.,Medium,System,SUV
17442,Mechanical,6/6/2022,Production,Key whom cell always.,Medium,Other,SUV
17443,Software,10/5/2023,Customer Delivery,West against strategy tell gas attorney color.,Low,System,Sedan
17444,Electrical,5/13/2014,Customer Delivery,College source get win go artist event.,Medium,Body Panels,Sedan
17445,Body,6/18/2022,After Sales,Newspaper I set within rock.,High,Engine,SUV
17446,Mechanical,5/30/2021,Customer Delivery,Change project contain produce fund.,High,Brakes,Truck
17447,Electrical,1/6/2016,Testing,Dark somebody set still including.,Low,Suspension,SUV
17448,Body,1/5/2015,Production,Force sister magazine.,Low,Interior,Hatchback
17449,Other,4/28/2023,Customer Delivery,You get ball manage.,Low,Transmission,Hatchback
17450,Software,10/26/2016,Customer Delivery,Personal agency hair market long.,Low,System,Truck
17451,Body,7/29/2023,Customer Delivery,Stuff ask likely deal staff scene money.,Medium,Transmission,Sedan
17452,Mechanical,11/27/2022,Customer Delivery,Live appear source head treat.,High,Brakes,Sedan
17453,Body,8/19/2022,Production,Central for whose arrive such she address.,Medium,Brakes,Hatchback
17454,,4/14/2023,,,,,
17455,Body,2/25/2016,After Sales,Others project trial like.,High,Interior,Truck
17456,Body,1/11/2013,Production,Contain run under former break performance.,Low,Transmission,Truck
17457,Body,1/31/2022,Customer Delivery,Talk operation physical drive hotel look step.,High,Body Panels,Hatchback
17458,Body,6/1/2016,Testing,Democrat see meeting behavior practice recent doctor.,Medium,Interior,SUV
17459,Electrical,4/17/2023,After Sales,Peace kitchen more common manage vote.,Medium,Engine,Sedan
17460,Other,12/8/2016,Customer Delivery,Whole side traditional remember turn poor instead.,Medium,Electrical System,Sedan
17461,Body,5/11/2016,After Sales,Until skill usually.,Low,Transmission,Truck
17462,Other,12/31/2022,Production,Catch hope industry price serve past consumer.,Low,Suspension,Truck
17463,Electrical,2/28/2013,Customer Delivery,Beyond fast late think account rich leader particular.,Low,Other,Sedan
17464,Software,3/11/2022,After Sales,Down east remember box attorney.,High,System,SUV
17465,Mechanical,6/10/2022,Customer Delivery,See talk street hard ago.,Medium,Suspension,Hatchback
17466,Electrical,7/20/2018,After Sales,Quite physical evidence threat message size rule property.,High,Interior,SUV
17467,Mechanical,1/12/2023,After Sales,Policy senior policy wish price only many.,Medium,Other,SUV
17468,Body,8/26/2022,Customer Delivery,Camera white debate traditional statement civil.,High,Electrical System,Sedan
17469,Software,4/19/2022,Testing,Father best these able nearly decide start win.,Low,System,Sedan
17470,Mechanical,3/30/2016,After Sales,It remember environment kid build who fall.,High,Suspension,SUV
17471,Body,11/28/2017,Testing,Read manager tell occur in.,High,Body Panels,Sedan
17472,Software,7/11/2023,After Sales,Realize allow every before notice amount.,Medium,System,SUV
17473,Body,8/25/2017,Customer Delivery,Cause such analysis class test.,Medium,Electrical System,Hatchback
17474,Other,7/17/2019,Customer Delivery,Science wall stand sell claim.,Low,Interior,Sedan
17475,Software,9/6/2017,Testing,Affect national road food house finally meeting former.,Low,Other,Hatchback
17476,Other,9/8/2023,Production,Commercial agree third pressure tonight one theory.,Low,Engine,Hatchback
17477,Software,5/10/2017,After Sales,Strong the floor away hour read world.,Low,System,Hatchback
17478,Other,5/31/2022,Production,Office wonder fire serve choose.,Medium,Engine,SUV
17479,Mechanical,3/8/2023,After Sales,During election house industry despite recently charge.,High,Other,Sedan
17480,Electrical,10/3/2018,Customer Delivery,Simple race expert apply forget despite.,High,Interior,Truck
17481,Mechanical,3/21/2016,After Sales,Range during pay occur glass.,Low,Transmission,SUV
17482,Other,4/29/2023,After Sales,Party window look hour visit meeting.,Medium,Body Panels,Hatchback
17483,Other,11/15/2022,After Sales,Production cultural operation grow small.,Medium,Interior,Sedan
17484,Body,1/9/2017,After Sales,Wish result establish even.,Low,Engine,SUV
17485,Software,12/31/2016,Testing,Serious but might little entire assume participant.,High,System,SUV
17486,Body,1/22/2019,After Sales,My its same loss lead make join.,Medium,Other,SUV
17487,Body,10/22/2012,After Sales,Reach drop help cause such let skill degree.,High,Body Panels,Hatchback
17488,Electrical,4/2/2023,Testing,Quickly conference might laugh popular energy have government.,High,Brakes,Sedan
17489,Other,12/3/2019,Production,Create leader page real result appear member form.,Low,Other,SUV
17490,Electrical,4/6/2016,After Sales,Third note vote specific.,High,Suspension,Hatchback
17491,Electrical,10/19/2023,Testing,Add themselves nor three.,Medium,Engine,Hatchback
17492,Software,5/9/2023,Testing,Follow test wish whose.,High,Other,Hatchback
17493,Body,6/12/2016,Customer Delivery,Thank teacher well buy woman seem save.,High,Transmission,SUV
17494,Electrical,4/7/2021,After Sales,Chance child wind instead.,Low,Brakes,Hatchback
17495,Other,7/14/2019,After Sales,Society method fill might.,High,Interior,SUV
17496,Body,1/6/2023,Production,Authority benefit account back glass number hour.,High,Brakes,Hatchback
17497,Body,1/19/2019,Production,Two particularly city.,Medium,Interior,Sedan
17498,Body,2/24/2021,Production,Adult pay operation build.,Low,Brakes,Truck
17499,Electrical,8/14/2019,Customer Delivery,Authority dream physical arm perform model.,Low,Electrical System,Sedan
17500,Other,12/13/2020,Customer Delivery,Better perhaps only painting expert available arm.,Medium,Interior,SUV
17501,Software,4/28/2015,After Sales,Member especially tend admit hand night.,Low,Other,Truck
17502,,12/27/2022,,,,,
17503,Electrical,3/19/2021,After Sales,Writer base administration minute draw.,High,Engine,Sedan
17504,Mechanical,3/5/2015,After Sales,It back I little experience American thousand.,High,Brakes,Sedan
17505,Electrical,10/29/2019,Testing,Present image fill remain fly.,Medium,Other,Sedan
17506,Electrical,5/8/2021,After Sales,Media allow question fish attention option.,High,Suspension,Truck
17507,Body,3/1/2022,Production,Specific fish treat capital around network.,Low,Body Panels,Hatchback
17508,Body,2/26/2023,Customer Delivery,Strong ahead heavy forget through back player.,High,Interior,Hatchback
17509,Mechanical,11/11/2023,After Sales,Across marriage question performance.,Medium,Electrical System,Sedan
17510,Electrical,6/19/2023,Testing,Speak three family.,Low,Electrical System,Hatchback
17511,Body,6/5/2010,Customer Delivery,Create coach degree work seek southern most.,High,Body Panels,SUV
17512,Other,11/26/2021,After Sales,Need give new dream.,Medium,Brakes,Truck
17513,Body,9/27/2013,After Sales,Material one own computer.,Low,Interior,Sedan
17514,Mechanical,6/1/2020,Testing,They great write yes call man.,High,Other,Sedan
17515,Other,7/27/2016,Customer Delivery,Yes garden tell agreement daughter reach item.,High,Other,Hatchback
17516,Other,4/12/2016,After Sales,Fine yard finally might.,High,Interior,Sedan
17517,Body,7/19/2019,Customer Delivery,Protect every join company over.,Medium,Interior,Hatchback
